epoch,tr_mae,val_mae
1,49.41141851883901,49.245754
2,48.75816763382924,48.60827
3,47.806793811653236,47.173
4,46.15931719043587,45.025326
5,43.84007781789273,41.947567
6,40.28859489537493,39.24392
7,35.242497721804845,30.871155
8,29.303279529040374,23.007452
9,22.82855961473682,27.679611
10,18.345928969564316,18.834484
11,16.00811227726031,14.714554
12,15.563928063308136,13.942576
13,15.275393440150008,49.565147
14,15.031703562676151,20.778767
15,14.640994982176188,13.828151
16,14.871973312957378,14.196967
17,14.33955337669276,14.045267
18,14.767239355739159,14.399855
19,14.293628909919835,13.765319
20,14.52157562352434,13.803514
21,15.453118814395953,13.444677
22,14.465269561960728,13.920584
23,13.51793111970153,13.337492
24,14.6122224059286,13.280155
25,14.606312411344504,13.856228
26,15.018714238420317,16.87539
27,14.853350813177567,13.665889
28,15.14207183258443,14.078893
29,15.252157592773438,13.813809
30,15.000401537931419,13.741324
31,14.75716711358179,13.997003
32,14.253451328036151,13.526468
33,14.888325862643084,13.560328
34,14.939124732681467,13.575503
35,14.900672683232948,13.50823
36,14.745784334593182,14.301737
37,14.117312322689008,13.423051
38,13.834644578378413,13.421892
39,14.221535328973697,14.368521
40,14.721737332887287,13.390275
41,14.48947966128965,13.2191515
42,15.06280807301968,13.176885
43,14.390911913521682,13.513381
44,15.440719558619246,14.170238
45,14.901697376106359,13.660274
46,14.487945102739937,14.161573
47,13.96487628840193,13.126999
48,14.337266076969195,13.15518
49,14.265238242813304,13.468946
50,14.329473876953125,13.273395
51,14.536593333377114,13.107501
52,13.850217756440367,13.19802
53,13.796814392186418,12.836854
54,14.141135614129562,12.696316
55,15.015145632586902,13.3097
56,13.772173096862021,12.802338
57,13.90522777702235,12.704395
58,13.969693355318865,13.2178955
59,14.139241317555873,12.83762
60,13.825667753098886,14.417127
61,14.68544918253452,12.912619
62,13.999943330016317,13.521946
63,13.902400668663315,12.8704195
64,13.873024365871768,12.834961
65,13.865288608889037,12.857775
66,13.25285772492614,12.68665
67,13.978009858916078,18.90179
68,14.008946228027344,12.865497
69,14.114276741124407,13.021525
70,13.738489696647548,12.4094715
71,13.446132401575015,13.321491
72,14.313707993905755,12.508678
73,13.549902223031733,12.8911085
74,14.121194846720636,12.873407
75,13.719648346719863,12.518302
76,14.55727896388573,12.197549
77,12.976612221440183,35.723248
78,13.815327096287207,12.492646
79,13.375511282908766,12.703545
80,13.514848197260989,43.335327
81,14.58753958593441,12.535888
82,13.473253597790682,12.988314
83,13.606752398044248,12.10563
84,13.6716593923448,12.3860445
85,13.386437573010408,12.5638485
86,13.50024953914594,12.254216
87,13.228900904595097,13.171127
88,13.662901569318167,11.792135
89,13.623375755020335,19.279514
90,13.161280617532851,12.417686
91,12.83127617172048,13.492961
92,12.82733734227434,13.446804
93,12.721888839142231,12.908969
94,13.374470715583126,11.650057
95,13.173697256740136,11.866878
96,13.043124681786646,11.599211
97,13.572790411454212,11.91952
98,13.04590687329256,11.5005865
99,12.719269322745408,12.698205
