epoch,tr_mae,val_mae
1,33.518253780316705,48.109085
2,15.928536243680158,34.1988
3,14.356852198250687,17.593761
4,13.998464480532876,14.170776
5,14.066010383412808,13.734055
6,13.910758387891551,13.358438
7,13.441388267806813,13.308092
8,13.440005355545237,13.155493
9,13.487708420089529,12.973082
10,12.973096055622342,12.768286
11,12.905058213728893,12.563278
12,12.954802237884907,12.542101
13,12.613746659966964,12.517561
14,12.66009190716321,12.447277
15,12.630622890327551,12.552029
16,12.817238426208496,12.803621
17,12.789140416398833,12.774091
18,12.39630146750921,12.49452
19,12.914216748973992,12.506945
20,12.564077570468564,12.543106
21,12.59135199196731,12.356639
22,12.011053541642202,12.366002
23,12.092252132560633,12.5866585
24,11.993641445304775,12.266678
25,11.892958450317384,12.070718
26,11.831688448749011,12.088068
27,11.467996681792826,11.849587
28,11.095494526247435,11.948124
29,10.852682898316202,11.661937
30,10.709922346284118,11.914018
31,10.660939144182809,11.847737
32,11.249500166011762,11.400943
33,12.522551753852941,12.035467
34,10.686145282697074,12.131684
35,10.66737832902353,11.903012
36,9.756260495246211,11.450219
37,9.366271330435065,11.235494
38,9.036709756489042,11.642453
39,8.792431903790824,11.264738
40,8.410922448846359,11.846723
41,8.743872906890097,11.223726
42,8.646918410289137,11.034118
43,8.27833717442766,10.6437025
44,9.685465772846078,11.117845
45,8.198990010611618,11.978885
46,7.850080287305615,11.099577
47,7.768671562098249,11.081772
48,7.403536794155459,10.879015
49,7.1622207158728495,10.790896
