tr_huber,epoch,val_huber,val_mae
0.0026862461605825175,0,0.0015426885802298784,6.529814720153809
0.0019082973585452087,1,0.0014402943197637796,6.178661823272705
0.0017228647681723844,2,0.001370042678900063,5.932727336883545
0.0016069651660553616,3,0.001297432230785489,5.683629989624023
0.001642204344358981,4,0.0011332154972478747,5.200359344482422
0.0015380038058526535,5,0.0012430442729964852,5.517644882202148
0.0014454579607698617,6,0.001053237123414874,4.916131496429443
0.0015414776479920425,7,0.001127067138440907,5.139414310455322
0.001521057076282472,8,0.001046601915732026,4.867859363555908
0.0013962086408102112,9,0.0011301717022433877,5.130748271942139
0.0014185423342899448,10,0.0010585194686427712,4.89942741394043
0.0013513735161481398,11,0.0009160639601759613,4.3906450271606445
0.001354951609364089,12,0.0009202004875987768,4.4181389808654785
0.0012100690350052901,13,0.0009739553788676858,4.631637096405029
0.001325685004757119,14,0.0008718802127987146,4.210561275482178
0.0012499617232718644,15,0.0010832743719220161,4.991702079772949
0.0013074601410602254,16,0.0008592651574872434,4.148293495178223
0.0012359354634238024,17,0.0008623985340818763,4.178952217102051
0.0012295999902884823,18,0.0008489895262755454,4.130391597747803
0.0012613025837870022,19,0.0008414149051532149,4.118104457855225
0.0011318900363900717,20,0.0009402831201441586,4.5096306800842285
0.0012233819216184018,21,0.0008650309755466878,4.242557048797607
0.0012466473475233344,22,0.0009023545426316559,4.375937461853027
0.0011561339584083806,23,0.0008940849220380187,4.3420538902282715
0.001183939623165193,24,0.0008347958792001009,4.120368957519531
0.001191061097445446,25,0.0008040915708988905,3.9923839569091797
0.0012086190345696737,26,0.0009566337685100734,4.57344388961792
